İsim,Ay,Durum,Puan /5,Type,Tür,Yazar,Yıl
Lanetli Tavşan,Eylül,Bitti,⭐️⭐️⭐️,Kitap,Öykü,Bora Chung,2023
Burn,Kasım,Bitti,⭐️⭐️⭐️⭐️,Kitap,Akademik,Herman Pontzer,2023
Temel Parçacıklar,Ekim,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Michel Houellebecq,2023
"Cadılar, Ebeler ve Hemşireler",Kasım,Bitti,⭐️⭐️⭐️,Kitap,Fikir,Barbara Ehrenreich,2023
Fikrimin İnce Gülü,Kasım,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Adalet Ağaoğlu,2023
Martin Eden,Kasım,Bitti,⭐️⭐️⭐️⭐️⭐️,Kitap,Roman,Jack London,2023
50 Muhteşem Kısa Hikaye Türk Edebiyatı,Şubat,Bitti,⭐️⭐️⭐️⭐️,Kitap,Öykü,Kolektif,2024
Yedi Boş Ev,"Aralık ",Bitti,⭐️⭐️⭐️⭐️⭐️,Kitap,Öykü,Samantha Schweblin,2023
Tıkanma,"Aralık ",Bitti,⭐️⭐️⭐️⭐️⭐️,Kitap,Roman,Chuck Palahniuk,2023
Yemeğin Psikopolitikası,Ocak,Bitti,⭐️⭐️⭐️⭐️,Kitap,Fikir,Mihalis Mentinis,2024
Zaman Sığınağı,Ocak,Bitti,⭐️⭐️⭐️,Kitap,Roman,Georgi Gospodinov,2024
Kaygı Döngüsünü Kırmak,,Başlanacak,,Kitap,Fikir,Judson Brewer,2024
İntihar Dükkanı,Ocak,Bitti,⭐️⭐️⭐️,Kitap,Roman,Jean Teule,2024
Gecikmeye Övgü,Şubat,Bitti,⭐️⭐️⭐️,Kitap,Fikir,Helene L’Heuillet,2024
Kerkenez,Şubat,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Barry Hines,2024
Goethe’nin İnfazı,Şubat,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Viktor Glass,2024
Bir Gün Tek Başına,Mart,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Vedat Türkali,2024
Kılıç Yarası Gibi,,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Ahmet Altan,2024
Kardeşim Rüzgar,,Başlanacak,,Kitap,Roman,Vasconselos,2024
Ne Ders Olsa Veririz,Şubat,Bitti,⭐️⭐️⭐️⭐️⭐️,Kitap,Fikir,"Aslı Vatansever, Meral Yalçın",2024
Daha,Şubat,Bitti,⭐️⭐️⭐️⭐️,Kitap,Roman,Hakan Günday,2024
Ultra Processed People,,Okunuyor,,Kitap,Akademik,Chris Van Tulleken,2024
Çalışma,,Okunuyor,,Kitap,Fikir,James Suzman,2024
Bir Erkeğin Anatomisi,,,⭐️⭐️⭐️⭐️,Film,,,2024
